,track_id,title,artist,url,lyrics
0,6214605|,곰세마리,동요,http://music.naver.com/lyric/index.nhn?trackId=6214605|,곰 세 마리가 한 집에 있어 아빠곰 엄마곰 애기곰아빠 곰은 뚱뚱해 엄마 곰은 날씬해애기 곰은 너무 귀여워 히쭉히쭉 잘한다 (ⅹ2)
1,6214605|,곰세마리,동요,http://music.naver.com/lyric/index.nhn?trackId=6214605|,곰세마리가 한집에 있어아빠곰 엄마곰 아기곰.아빠곰은 뚱뚱해.엄마곰은 날씬해.아기곰은 너무 귀여워.히죽 히죽 잘한다.곰세마리가 한집에 있어아빠곰 엄마곰 아기곰.아빠곰은 뚱뚱해.엄마곰은 날씬해.아기곰은 너무 귀여워.히죽 히죽 잘한다.
2,6214605|,곰세마리,동요,http://music.naver.com/lyric/index.nhn?trackId=6214605|,곰 세마리가 한집에 있어아빠곰 엄마곰 애기곰아빠곰은 뚱뚱해엄마곰은 날씬해애기곰은 너무 귀여워 으쓱으쓱 잘한다
3,6214605|,곰세마리,동요,http://music.naver.com/lyric/index.nhn?trackId=6214605|,곰 세마리가 한 집에 있어아빠곰 엄마곰 애기곰아빠곰은 뚱뚱해 엄마곰은 날씬해애기곰은 너무귀여워으쓱으쓱 잘한다곰 세마리가 한 집에 있어아빠곰 엄마곰 애기곰아빠곰은 뚱뚱해 엄마곰은 날씬해애기곰은 너무귀여워으쓱으쓱 잘한다
4,6214615|,그대로 멈춰라,동요,http://music.naver.com/lyric/index.nhn?trackId=6214615|,즐겁게 춤을 추다가 그대로 멈춰라즐겁게 춤을 추다가 그대로 멈춰라눈도 감지말고 웃지도 말고 울지도 말고 움직이지마즐겁게 춤을 추다가 그대로 멈춰라즐겁게 춤을 추다가 그대로 멈춰라 (ⅹ2)
5,6214615|,그대로 멈춰라,동요,http://music.naver.com/lyric/index.nhn?trackId=6214615|,즐겁게 춤을 추다가그대로 멈춰라즐겁게 춤을 추다가그대로 멈춰라눈도 감지 말고 말고 웃지도 말고 울지도 말고움직이지마즐겁게 춤을 추다가그대로 멈춰라
6,6214611|,작은 동물원,동요,http://music.naver.com/lyric/index.nhn?trackId=6214611|,삐약삐약 병아리음매음매 송아지따당따당 사냥꾼뒤뚱뒤뚱 물오리푸 푸 개구리집게집게집게 가재푸르르르르르르 물풀 소라 (ⅹ2)
7,6214611|,작은 동물원,동요,http://music.naver.com/lyric/index.nhn?trackId=6214611|,삐약삐약 병아리음매음매 송아지따당따당 사냥꾼뒤뚱뒤뚱 물오리푸-푸우  개구리집게집게 가제푸르르르 물풀따당당당당 소라-
8,6214611|,작은 동물원,동요,http://music.naver.com/lyric/index.nhn?trackId=6214611|,삐약삐약 병아리 음메음메 송아지따당따당 사냥꾼 뒤뚱뒤뚱 물오리푸푸 개구리 집게 집게 집게 가재푸르르르르르르 물 풀
9,6214604|,꼭꼭 약속해,동요,http://music.naver.com/lyric/index.nhn?trackId=6214604|,너하고 나는 친구 되어서 사이좋게 지내자새끼손가락 고리 걸고 꼭 꼭 약속해싸움 하면은 친구 아니야 사랑하고 지내자새끼손가락 고리 걸고 꼭 꼭 약속해맛있는 것은 나눠 먹으며 서로 돕고 지내자새끼손가락 고리 걸고 꼭 꼭 약속해
